Data,Motor,Nivel_RDO,Nivel_Insp,Hora,DataISO
02/01/2025,Motor#1,26,,51,2025-01-02
31/01/2025,Motor#1,26,,52,2025-01-31
28/02/2025,Motor#1,26,,63,2025-02-28
31/03/2025,Motor#1,25,,63,2025-03-31
30/04/2025,Motor#1,25,,77,2025-04-30
31/05/2025,Motor#1,26,,94,2025-05-31
30/06/2025,Motor#1,25,,101,2025-06-30
31/07/2025,Motor#1,25,,118,2025-07-31
31/08/2025,Motor#1,25,,118,2025-08-31
30/09/2025,Motor#1,25,,126,2025-09-30
02/01/2025,Motor#10,26,,158,2025-01-02
31/01/2025,Motor#10,26,,174,2025-01-31
28/02/2025,Motor#10,26,,174,2025-02-28
31/03/2025,Motor#10,24,,178,2025-03-31
30/04/2025,Motor#10,24,,186,2025-04-30
31/05/2025,Motor#10,24,,186,2025-05-31
30/06/2025,Motor#10,24,,190,2025-06-30
31/07/2025,Motor#10,24,,202,2025-07-31
31/08/2025,Motor#10,24,,202,2025-08-31
30/09/2025,Motor#10,24,,203,2025-09-30
02/01/2025,Motor#11,26,,7818,2025-01-02
31/01/2025,Motor#11,26,,7818,2025-01-31
28/02/2025,Motor#11,26,,7818,2025-02-28
31/03/2025,Motor#11,25,,7822,2025-03-31
30/04/2025,Motor#11,25,,7830,2025-04-30
31/05/2025,Motor#11,25,,7830,2025-05-31
30/06/2025,Motor#11,25,,7835,2025-06-30
31/07/2025,Motor#11,25,,7847,2025-07-31
31/08/2025,Motor#11,25,,7847,2025-08-31
30/09/2025,Motor#11,25,,7856,2025-09-30
02/01/2025,Motor#12,21,,11161,2025-01-02
31/01/2025,Motor#12,21,,11173,2025-01-31
28/02/2025,Motor#12,21,,11173,2025-02-28
31/03/2025,Motor#12,20,,11176,2025-03-31
30/04/2025,Motor#12,20,,11184,2025-04-30
31/05/2025,Motor#12,21,,11184,2025-05-31
30/06/2025,Motor#12,21,,11187,2025-06-30
31/07/2025,Motor#12,21,,11200,2025-07-31
31/08/2025,Motor#12,21,,11200,2025-08-31
30/09/2025,Motor#12,21,,11200,2025-09-30
02/01/2025,Motor#13,27,,8798,2025-01-02
31/01/2025,Motor#13,27,,8798,2025-01-31
28/02/2025,Motor#13,27,,8798,2025-02-28
31/03/2025,Motor#13,24,,8803,2025-03-31
30/04/2025,Motor#13,24,,8809,2025-04-30
31/05/2025,Motor#13,25,,8629,2025-05-31
30/06/2025,Motor#13,25,,8629,2025-06-30
31/07/2025,Motor#13,25,,8629,2025-07-31
31/08/2025,Motor#13,25,,8864,2025-08-31
30/09/2025,Motor#13,25,,8864,2025-09-30
02/01/2025,Motor#14,29,,105,2025-01-02
31/01/2025,Motor#14,29,,105,2025-01-31
28/02/2025,Motor#14,29,,105,2025-02-28
31/03/2025,Motor#14,28,,111,2025-03-31
30/04/2025,Motor#14,28,,121,2025-04-30
31/05/2025,Motor#14,29,,142,2025-05-31
30/06/2025,Motor#14,29,,142,2025-06-30
31/07/2025,Motor#14,29,,152,2025-07-31
31/08/2025,Motor#14,29,,154,2025-08-31
30/09/2025,Motor#14,29,,166,2025-09-30
02/01/2025,Motor#15,26,,222,2025-01-02
31/01/2025,Motor#15,26,,222,2025-01-31
28/02/2025,Motor#15,26,,222,2025-02-28
31/03/2025,Motor#15,26,,228,2025-03-31
30/04/2025,Motor#15,26,,231,2025-04-30
31/05/2025,Motor#15,27,,249,2025-05-31
30/06/2025,Motor#15,27,,249,2025-06-30
31/07/2025,Motor#15,27,,274,2025-07-31
31/08/2025,Motor#15,27,,276,2025-08-31
30/09/2025,Motor#15,27,,286,2025-09-30
02/01/2025,Motor#16,25,,112,2025-01-02
31/01/2025,Motor#16,25,,112,2025-01-31
28/02/2025,Motor#16,25,,112,2025-02-28
31/03/2025,Motor#16,24,,118,2025-03-31
30/04/2025,Motor#16,24,,126,2025-04-30
31/05/2025,Motor#16,25,,144,2025-05-31
30/06/2025,Motor#16,25,,144,2025-06-30
31/07/2025,Motor#16,25,,169,2025-07-31
31/08/2025,Motor#16,25,,169,2025-08-31
30/09/2025,Motor#16,25,,183,2025-09-30
02/01/2025,Motor#17,26,,8853,2025-01-02
31/01/2025,Motor#17,26,,8853,2025-01-31
28/02/2025,Motor#17,26,,8853,2025-02-28
31/03/2025,Motor#17,25,,8859,2025-03-31
30/04/2025,Motor#17,25,,8867,2025-04-30
31/05/2025,Motor#17,26,,8883,2025-05-31
30/06/2025,Motor#17,26,,8883,2025-06-30
31/07/2025,Motor#17,26,,8903,2025-07-31
31/08/2025,Motor#17,26,,8907,2025-08-31
30/09/2025,Motor#17,26,,8916,2025-09-30
02/01/2025,Motor#18,26,,13604,2025-01-02
31/01/2025,Motor#18,26,,13604,2025-01-31
28/02/2025,Motor#18,26,,13604,2025-02-28
31/03/2025,Motor#18,26,,13610,2025-03-31
30/04/2025,Motor#18,26,,13617,2025-04-30
31/05/2025,Motor#18,26,,13632,2025-05-31
30/06/2025,Motor#18,26,,13632,2025-06-30
31/07/2025,Motor#18,26,,13653,2025-07-31
31/08/2025,Motor#18,26,,13654,2025-08-31
30/09/2025,Motor#18,26,,13664,2025-09-30
02/01/2025,Motor#19,26,,11078,2025-01-02
31/01/2025,Motor#19,26,,11078,2025-01-31
28/02/2025,Motor#19,26,,11078,2025-02-28
31/03/2025,Motor#19,26,,11078,2025-03-31
30/04/2025,Motor#19,26,,11085,2025-04-30
31/05/2025,Motor#19,26,,11094,2025-05-31
30/06/2025,Motor#19,26,,11094,2025-06-30
31/07/2025,Motor#19,26,,11112,2025-07-31
31/08/2025,Motor#19,26,,11116,2025-08-31
30/09/2025,Motor#19,26,,11126,2025-09-30
02/01/2025,Motor#2,25,,7881,2025-01-02
31/01/2025,Motor#2,25,,7882,2025-01-31
28/02/2025,Motor#2,25,,7891,2025-02-28
31/03/2025,Motor#2,24,,7891,2025-03-31
30/04/2025,Motor#2,24,,7901,2025-04-30
31/05/2025,Motor#2,24,,7920,2025-05-31
30/06/2025,Motor#2,24,,7927,2025-06-30
31/07/2025,Motor#2,24,,7941,2025-07-31
31/08/2025,Motor#2,24,,7941,2025-08-31
30/09/2025,Motor#2,24,,7941,2025-09-30
02/01/2025,Motor#20,24,,10015,2025-01-02
31/01/2025,Motor#20,24,,10015,2025-01-31
28/02/2025,Motor#20,24,,10015,2025-02-28
31/03/2025,Motor#20,23,,10015,2025-03-31
30/04/2025,Motor#20,23,,10025,2025-04-30
31/05/2025,Motor#20,24,,10025,2025-05-31
30/06/2025,Motor#20,24,,10025,2025-06-30
31/07/2025,Motor#20,24,,10045,2025-07-31
31/08/2025,Motor#20,24,,10045,2025-08-31
30/09/2025,Motor#20,24,,10060,2025-09-30
02/01/2025,Motor#21,25,,11425,2025-01-02
31/01/2025,Motor#21,25,,11425,2025-01-31
28/02/2025,Motor#21,25,,11425,2025-02-28
31/03/2025,Motor#21,24,,11425,2025-03-31
30/04/2025,Motor#21,24,,11434,2025-04-30
31/05/2025,Motor#21,24,,11401,2025-05-31
30/06/2025,Motor#21,24,,11401,2025-06-30
31/07/2025,Motor#21,24,,11459,2025-07-31
31/08/2025,Motor#21,24,,11462,2025-08-31
30/09/2025,Motor#21,24,,11471,2025-09-30
02/01/2025,Motor#22,27,,9964,2025-01-02
31/01/2025,Motor#22,27,,9964,2025-01-31
28/02/2025,Motor#22,27,,9964,2025-02-28
31/03/2025,Motor#22,26,,9964,2025-03-31
30/04/2025,Motor#22,26,,9975,2025-04-30
31/05/2025,Motor#22,26,,9985,2025-05-31
30/06/2025,Motor#22,26,,9985,2025-06-30
31/07/2025,Motor#22,26,,10005,2025-07-31
31/08/2025,Motor#22,26,,10008,2025-08-31
30/09/2025,Motor#22,26,,10016,2025-09-30
02/01/2025,Motor#23,26,,12221,2025-01-02
31/01/2025,Motor#23,26,,12221,2025-01-31
28/02/2025,Motor#23,26,,12222,2025-02-28
31/03/2025,Motor#23,25,,12222,2025-03-31
30/04/2025,Motor#23,25,,12232,2025-04-30
31/05/2025,Motor#23,25,,12232,2025-05-31
30/06/2025,Motor#23,25,,12232,2025-06-30
31/07/2025,Motor#23,25,,12251,2025-07-31
